Date,vertical,language,tickets
2026-01-12,Hospitality,English,1658
2026-01-12,Hospitality,French,191
2026-01-12,Hospitality,German,221
2026-01-12,Hospitality,Italian,172
2026-01-12,Hospitality,Portuguese,42
2026-01-12,Hospitality,Spanish,292
2026-01-12,Partners,English,2556
2026-01-12,Partners,French,294
2026-01-12,Partners,German,342
2026-01-12,Partners,Italian,265
2026-01-12,Partners,Portuguese,64
2026-01-12,Partners,Spanish,451
2026-01-12,Payments,English,221
2026-01-12,Payments,French,25
2026-01-12,Payments,German,30
2026-01-12,Payments,Italian,23
2026-01-12,Payments,Portuguese,6
2026-01-12,Payments,Spanish,39
2026-01-13,Hospitality,English,1735
2026-01-13,Hospitality,French,200
2026-01-13,Hospitality,German,232
2026-01-13,Hospitality,Italian,180
2026-01-13,Hospitality,Portuguese,43
2026-01-13,Hospitality,Spanish,306
2026-01-13,Partners,English,2470
2026-01-13,Partners,French,284
2026-01-13,Partners,German,330
2026-01-13,Partners,Italian,256
2026-01-13,Partners,Portuguese,62
2026-01-13,Partners,Spanish,436
2026-01-13,Payments,English,240
2026-01-13,Payments,French,28
2026-01-13,Payments,German,32
2026-01-13,Payments,Italian,25
2026-01-13,Payments,Portuguese,6
2026-01-13,Payments,Spanish,42
2026-01-14,Hospitality,English,1799
2026-01-14,Hospitality,French,207
2026-01-14,Hospitality,German,241
2026-01-14,Hospitality,Italian,187
2026-01-14,Hospitality,Portuguese,45
2026-01-14,Hospitality,Spanish,317
2026-01-14,Partners,English,2443
2026-01-14,Partners,French,281
2026-01-14,Partners,German,327
2026-01-14,Partners,Italian,253
2026-01-14,Partners,Portuguese,62
2026-01-14,Partners,Spanish,431
2026-01-14,Payments,English,257
2026-01-14,Payments,French,30
2026-01-14,Payments,German,34
2026-01-14,Payments,Italian,27
2026-01-14,Payments,Portuguese,6
2026-01-14,Payments,Spanish,45
2026-01-15,Hospitality,English,1761
2026-01-15,Hospitality,French,203
2026-01-15,Hospitality,German,235
2026-01-15,Hospitality,Italian,183
2026-01-15,Hospitality,Portuguese,44
2026-01-15,Hospitality,Spanish,311
2026-01-15,Partners,English,2468
2026-01-15,Partners,French,284
2026-01-15,Partners,German,330
2026-01-15,Partners,Italian,256
2026-01-15,Partners,Portuguese,62
2026-01-15,Partners,Spanish,435
2026-01-15,Payments,English,254
2026-01-15,Payments,French,29
2026-01-15,Payments,German,34
2026-01-15,Payments,Italian,26
2026-01-15,Payments,Portuguese,7
2026-01-15,Payments,Spanish,45
2026-01-16,Hospitality,English,1544
2026-01-16,Hospitality,French,178
2026-01-16,Hospitality,German,206
2026-01-16,Hospitality,Italian,160
2026-01-16,Hospitality,Portuguese,39
2026-01-16,Hospitality,Spanish,273
2026-01-16,Partners,English,2378
2026-01-16,Partners,French,274
2026-01-16,Partners,German,318
2026-01-16,Partners,Italian,247
