Date,vertical,language,tickets,agents
2026-01-12,Hospitality,English,265,10
2026-01-12,Hospitality,French,31,1
2026-01-12,Hospitality,German,35,2
2026-01-12,Hospitality,Italian,27,1
2026-01-12,Hospitality,Portuguese,7,1
2026-01-12,Hospitality,Spanish,47,2
2026-01-12,Partners,English,46,2
2026-01-12,Partners,French,5,1
2026-01-12,Partners,German,6,1
2026-01-12,Partners,Italian,5,1
2026-01-12,Partners,Portuguese,1,1
2026-01-12,Partners,Spanish,8,1
2026-01-12,Payments,English,217,9
2026-01-12,Payments,French,25,1
2026-01-12,Payments,German,29,1
2026-01-12,Payments,Italian,23,1
2026-01-12,Payments,Portuguese,5,1
2026-01-12,Payments,Spanish,38,2
2026-01-13,Hospitality,English,377,14
2026-01-13,Hospitality,French,43,2
2026-01-13,Hospitality,German,50,2
2026-01-13,Hospitality,Italian,39,2
2026-01-13,Hospitality,Portuguese,10,1
2026-01-13,Hospitality,Spanish,67,2
2026-01-13,Partners,English,44,2
2026-01-13,Partners,French,5,1
2026-01-13,Partners,German,6,1
2026-01-13,Partners,Italian,4,1
2026-01-13,Partners,Portuguese,1,1
2026-01-13,Partners,Spanish,8,1
2026-01-13,Payments,English,234,9
2026-01-13,Payments,French,27,1
2026-01-13,Payments,German,31,1
2026-01-13,Payments,Italian,24,1
2026-01-13,Payments,Portuguese,6,1
2026-01-13,Payments,Spanish,42,2
2026-01-14,Hospitality,English,207,7
2026-01-14,Hospitality,French,24,1
2026-01-14,Hospitality,German,28,1
2026-01-14,Hospitality,Italian,21,1
2026-01-14,Hospitality,Portuguese,5,1
2026-01-14,Hospitality,Spanish,36,2
2026-01-14,Partners,English,27,1
2026-01-14,Partners,French,3,1
2026-01-14,Partners,German,3,1
2026-01-14,Partners,Italian,3,1
2026-01-14,Partners,Portuguese,1,1
2026-01-14,Partners,Spanish,5,1
2026-01-14,Payments,English,251,10
2026-01-14,Payments,French,29,1
2026-01-14,Payments,German,34,2
2026-01-14,Payments,Italian,26,1
2026-01-14,Payments,Portuguese,6,1
2026-01-14,Payments,Spanish,44,2
2026-01-15,Hospitality,English,230,9
2026-01-15,Hospitality,French,26,1
2026-01-15,Hospitality,German,31,1
2026-01-15,Hospitality,Italian,24,1
2026-01-15,Hospitality,Portuguese,6,1
2026-01-15,Hospitality,Spanish,41,2
2026-01-15,Partners,English,39,2
2026-01-15,Partners,French,4,1
2026-01-15,Partners,German,5,1
2026-01-15,Partners,Italian,4,1
2026-01-15,Partners,Portuguese,1,1
2026-01-15,Partners,Spanish,7,1
2026-01-15,Payments,English,248,9
2026-01-15,Payments,French,29,1
2026-01-15,Payments,German,33,2
2026-01-15,Payments,Italian,26,1
2026-01-15,Payments,Portuguese,6,1
2026-01-15,Payments,Spanish,44,2
2026-01-16,Hospitality,English,226,9
2026-01-16,Hospitality,French,26,1
2026-01-16,Hospitality,German,30,1
2026-01-16,Hospitality,Italian,23,1
2026-01-16,Hospitality,Portuguese,6,1
2026-01-16,Hospitality,Spanish,40,2
2026-01-16,Partners,English,51,2
2026-01-16,Partners,French,6,1
2026-01-16,Partners,German,7,1
2026-01-16,Partners,Italian,5,1
2026-01-16,Partners,Portuguese,1,1
2026-01-16,Partners,Spanish,9,1
2026-01-16,Payments,English,233,9
2026-01-16,Payments,French,27,1
2026-01-16,Payments,German,31,1
2026-01-16,Payments,Italian,24,1
2026-01-16,Payments,Portuguese,6,1
2026-01-16,Payments,Spanish,41,2
2026-01-17,Hospitality,English,61,2
2026-01-17,Hospitality,French,7,1
2026-01-17,Hospitality,German,8,1
2026-01-17,Hospitality,Italian,6,1
2026-01-17,Hospitality,Portuguese,2,1
2026-01-17,Hospitality,Spanish,11,1
2026-01-17,Partners,English,23,1
2026-01-17,Partners,French,3,1
2026-01-17,Partners,German,3,1
2026-01-17,Partners,Italian,2,1
2026-01-17,Partners,Portuguese,1,1
2026-01-17,Partners,Spanish,4,1
2026-01-17,Payments,English,78,3
2026-01-17,Payments,French,9,1
2026-01-17,Payments,German,10,1
2026-01-17,Payments,Italian,8,1
2026-01-17,Payments,Portuguese,2,1
2026-01-17,Payments,Spanish,14,1
2026-01-18,Hospitality,English,75,3
2026-01-18,Hospitality,French,9,1
2026-01-18,Hospitality,German,10,1
2026-01-18,Hospitality,Italian,8,1
2026-01-18,Hospitality,Portuguese,2,1
2026-01-18,Hospitality,Spanish,13,1
2026-01-18,Partners,English,8,1
2026-01-18,Partners,French,1,1
2026-01-18,Partners,German,1,1
2026-01-18,Partners,Italian,1,1
2026-01-18,Partners,Portuguese,0,0
2026-01-18,Partners,Spanish,2,1
2026-01-18,Payments,English,53,2
2026-01-18,Payments,French,6,1
2026-01-18,Payments,German,7,1
2026-01-18,Payments,Italian,6,1
2026-01-18,Payments,Portuguese,1,1
2026-01-18,Payments,Spanish,10,1
2026-01-19,Hospitality,English,265,10
2026-01-19,Hospitality,French,31,1
2026-01-19,Hospitality,German,35,2
2026-01-19,Hospitality,Italian,27,1
2026-01-19,Hospitality,Portuguese,7,1
2026-01-19,Hospitality,Spanish,47,2
2026-01-19,Partners,English,46,2
2026-01-19,Partners,French,5,1
2026-01-19,Partners,German,6,1
2026-01-19,Partners,Italian,5,1
2026-01-19,Partners,Portuguese,1,1
2026-01-19,Partners,Spanish,8,1
2026-01-19,Payments,English,259,10
2026-01-19,Payments,French,30,1
2026-01-19,Payments,German,35,2
2026-01-19,Payments,Italian,27,1
2026-01-19,Payments,Portuguese,6,1
2026-01-19,Payments,Spanish,46,2
2026-01-20,Hospitality,English,377,14
2026-01-20,Hospitality,French,43,2
2026-01-20,Hospitality,German,50,2
2026-01-20,Hospitality,Italian,39,2
2026-01-20,Hospitality,Portuguese,10,1
2026-01-20,Hospitality,Spanish,67,2
2026-01-20,Partners,English,44,2
2026-01-20,Partners,French,5,1
2026-01-20,Partners,German,6,1
2026-01-20,Partners,Italian,4,1
2026-01-20,Partners,Portuguese,1,1
2026-01-20,Partners,Spanish,8,1
2026-01-20,Payments,English,282,10
2026-01-20,Payments,French,32,1
2026-01-20,Payments,German,38,2
2026-01-20,Payments,Italian,29,1
2026-01-20,Payments,Portuguese,7,1
2026-01-20,Payments,Spanish,50,2
2026-01-21,Hospitality,English,207,7
2026-01-21,Hospitality,French,24,1
2026-01-21,Hospitality,German,28,1
2026-01-21,Hospitality,Italian,21,1
2026-01-21,Hospitality,Portuguese,5,1
2026-01-21,Hospitality,Spanish,36,2
2026-01-21,Partners,English,27,1
2026-01-21,Partners,French,3,1
2026-01-21,Partners,German,3,1
2026-01-21,Partners,Italian,3,1
2026-01-21,Partners,Portuguese,1,1
2026-01-21,Partners,Spanish,5,1
2026-01-21,Payments,English,303,11
2026-01-21,Payments,French,35,2
2026-01-21,Payments,German,40,2
2026-01-21,Payments,Italian,31,1
2026-01-21,Payments,Portuguese,8,1
2026-01-21,Payments,Spanish,53,2
2026-01-22,Hospitality,English,230,9
2026-01-22,Hospitality,French,26,1
2026-01-22,Hospitality,German,31,1
2026-01-22,Hospitality,Italian,24,1
2026-01-22,Hospitality,Portuguese,6,1
2026-01-22,Hospitality,Spanish,41,2
2026-01-22,Partners,English,39,2
2026-01-22,Partners,French,4,1
2026-01-22,Partners,German,5,1
2026-01-22,Partners,Italian,4,1
2026-01-22,Partners,Portuguese,1,1
2026-01-22,Partners,Spanish,7,1
2026-01-22,Payments,English,299,11
2026-01-22,Payments,French,34,2
2026-01-22,Payments,German,40,2
2026-01-22,Payments,Italian,31,1
2026-01-22,Payments,Portuguese,8,1
2026-01-22,Payments,Spanish,53,2
2026-01-23,Hospitality,English,226,9
2026-01-23,Hospitality,French,26,1
2026-01-23,Hospitality,German,30,1
2026-01-23,Hospitality,Italian,23,1
2026-01-23,Hospitality,Portuguese,6,1
2026-01-23,Hospitality,Spanish,40,2
2026-01-23,Partners,English,51,2
2026-01-23,Partners,French,6,1
2026-01-23,Partners,German,7,1
2026-01-23,Partners,Italian,5,1
2026-01-23,Partners,Portuguese,1,1
2026-01-23,Partners,Spanish,9,1
2026-01-23,Payments,English,279,10
2026-01-23,Payments,French,32,1
2026-01-23,Payments,German,38,2
2026-01-23,Payments,Italian,29,1
2026-01-23,Payments,Portuguese,7,1
2026-01-23,Payments,Spanish,49,2
2026-01-24,Hospitality,English,61,2
2026-01-24,Hospitality,French,7,1
2026-01-24,Hospitality,German,8,1
2026-01-24,Hospitality,Italian,6,1
2026-01-24,Hospitality,Portuguese,2,1
2026-01-24,Hospitality,Spanish,11,1
2026-01-24,Partners,English,23,1
2026-01-24,Partners,French,3,1
2026-01-24,Partners,German,3,1
2026-01-24,Partners,Italian,2,1
2026-01-24,Partners,Portuguese,1,1
2026-01-24,Partners,Spanish,4,1
2026-01-24,Payments,English,93,3
2026-01-24,Payments,French,11,1
2026-01-24,Payments,German,13,1
2026-01-24,Payments,Italian,10,1
2026-01-24,Payments,Portuguese,2,1
2026-01-24,Payments,Spanish,16,1
2026-01-25,Hospitality,English,75,3
2026-01-25,Hospitality,French,9,1
2026-01-25,Hospitality,German,10,1
2026-01-25,Hospitality,Italian,8,1
2026-01-25,Hospitality,Portuguese,2,1
2026-01-25,Hospitality,Spanish,13,1
2026-01-25,Partners,English,8,1
2026-01-25,Partners,French,1,1
2026-01-25,Partners,German,1,1
2026-01-25,Partners,Italian,1,1
2026-01-25,Partners,Portuguese,0,0
2026-01-25,Partners,Spanish,2,1
2026-01-25,Payments,English,64,2
2026-01-25,Payments,French,7,1
2026-01-25,Payments,German,8,1
2026-01-25,Payments,Italian,7,1
2026-01-25,Payments,Portuguese,2,1
2026-01-25,Payments,Spanish,11,1
2026-01-26,Hospitality,English,265,10
2026-01-26,Hospitality,French,31,1
2026-01-26,Hospitality,German,35,2
2026-01-26,Hospitality,Italian,27,1
2026-01-26,Hospitality,Portuguese,7,1
2026-01-26,Hospitality,Spanish,47,2
2026-01-26,Partners,English,46,2
2026-01-26,Partners,French,5,1
2026-01-26,Partners,German,6,1
2026-01-26,Partners,Italian,5,1
2026-01-26,Partners,Portuguese,1,1
2026-01-26,Partners,Spanish,8,1
2026-01-26,Payments,English,303,11
2026-01-26,Payments,French,35,2
2026-01-26,Payments,German,41,2
2026-01-26,Payments,Italian,31,1
2026-01-26,Payments,Portuguese,8,1
2026-01-26,Payments,Spanish,53,2
2026-01-27,Hospitality,English,377,14
2026-01-27,Hospitality,French,43,2
2026-01-27,Hospitality,German,50,2
2026-01-27,Hospitality,Italian,39,2
2026-01-27,Hospitality,Portuguese,10,1
2026-01-27,Hospitality,Spanish,67,2
2026-01-27,Partners,English,44,2
2026-01-27,Partners,French,5,1
2026-01-27,Partners,German,6,1
2026-01-27,Partners,Italian,4,1
2026-01-27,Partners,Portuguese,1,1
2026-01-27,Partners,Spanish,8,1
2026-01-27,Payments,English,325,13
2026-01-27,Payments,French,37,2
2026-01-27,Payments,German,44,2
2026-01-27,Payments,Italian,34,1
2026-01-27,Payments,Portuguese,8,1
2026-01-27,Payments,Spanish,57,2
2026-01-28,Hospitality,English,207,7
2026-01-28,Hospitality,French,24,1
2026-01-28,Hospitality,German,28,1
2026-01-28,Hospitality,Italian,21,1
2026-01-28,Hospitality,Portuguese,5,1
2026-01-28,Hospitality,Spanish,36,2
2026-01-28,Partners,English,27,1
2026-01-28,Partners,French,3,1
2026-01-28,Partners,German,3,1
